point_id,real_lat,real_lon,gps_lat,gps_lon,rtk_lat,rtk_lon,gps_error_m,rtk_error_cm
23,32.1121,118.6427723,32.11202903,118.6421726,32.11209849,118.6427724,12.21,5.07
24,32.1121,118.6427938,32.11198892,118.6421134,32.11210136,118.6427939,20.13,8.66
25,32.1121,118.6428153,32.11198213,118.6421584,32.11209982,118.6428154,17.77,6.41
26,32.1121,118.6428368,32.11200244,118.6421028,32.11210008,118.6428368,21.12,6.03
27,32.1121,118.6428583,32.11196731,118.6421235,32.11210133,118.6428583,22.25,5.77
28,32.1121,118.6428797,32.11192345,118.6420891,32.11209941,118.6428798,26.19,6.02
29,32.1121,118.6429012,32.11194567,118.6420679,32.11210229,118.6429013,22.48,7.73
30,32.1121,118.6429227,32.11192341,118.6420235,32.11210085,118.6429228,25.03,6.12
31,32.1121,118.6429442,32.11195678,118.6419988,32.11209982,118.6429442,21.74,7.11
32,32.1121,118.6429657,32.11200123,118.6420346,32.11210103,118.6429657,17.81,4.53
33,32.1121,118.6429871,32.11202345,118.6420789,32.11210046,118.6429872,15.48,4.27
34,32.1121,118.6430086,32.11198901,118.6421123,32.11209872,118.6430087,17.32,8.77
35,32.1121,118.6430301,32.11194567,118.642089,32.11210149,118.6430302,20.13,6.95
36,32.1121,118.6430516,32.11192345,118.6420457,32.11209951,118.6430516,23.37,7.22
37,32.1121,118.6430731,32.11195678,118.6420012,32.11210027,118.6430731,22.76,5.03
38,32.1121,118.6430945,32.11200123,118.6419789,32.11210204,118.6430946,19.15,6.94
39,32.1121,118.643116,32.11204567,118.6420123,32.11210039,118.6431161,15.56,4.61
40,32.1121,118.6431375,32.11208901,118.6420568,32.11209855,118.6431376,12.01,8.49
41,32.1121,118.643159,32.11206789,118.6421012,32.11210117,118.643159,11.28,5.79
42,32.1121,118.6431805,32.11202345,118.6421457,32.11210059,118.6431805,14.12,4.7
43,32.1121,118.6432019,32.11198901,118.642189,32.11209842,118.643202,18.07,7.13
44,32.1121,118.6432234,32.11201234,118.6421457,32.11210175,118.6432235,16.13,7.68
45,32.1121,118.6432449,32.11205678,118.6421012,32.11209922,118.643245,12.56,5.71
46,32.1121,118.6432664,32.11210123,118.6420679,32.11210013,118.6432664,9.01,3.38
47,32.1121,118.6432879,32.11213456,118.642089,32.1121026,118.6432879,12.78,5.18
48,32.1121,118.6433093,32.11210123,118.6421235,32.11209878,118.6433094,12.4,6.22
49,32.1121,118.6433308,32.11206789,118.6421679,32.11210093,118.6433309,15.34,4.13
50,32.1121,118.6433523,32.11202345,118.6422123,32.11209928,118.6433524,19.73,5.49
51,32.1121,118.6433738,32.11198901,118.6422568,32.11210143,118.6433738,23.2,6.12
52,32.1121,118.6433953,32.11202345,118.6423012,32.11209974,118.6433953,26.74,3.88
53,32.1121,118.6434167,32.11206789,118.6423457,32.11210017,118.6434168,30.22,5.37
54,32.1121,118.6434382,32.11210123,118.6423901,32.11210281,118.6434383,33.71,5.4
55,32.1121,118.6434597,32.1120789,118.6424346,32.11209895,118.6434598,32.69,3.9
56,32.1121,118.6434812,32.11203456,118.642479,32.11210021,118.6434812,31.71,4.47
57,32.1121,118.6435027,32.11199012,118.6425235,32.11210157,118.6435027,35.22,5.89
58,32.1121,118.6435241,32.11201234,118.6425679,32.11209963,118.6435242,33.34,7.62
59,32.1121,118.6435456,32.11205678,118.6426123,32.11210085,118.6435457,29.92,6.44
60,32.1121,118.6435671,32.11210123,118.6426568,32.11209871,118.6435672,26.54,6.92
61,32.1121,118.6435886,32.11212345,118.6427012,32.11210194,118.6435886,26.69,5.24
62,32.1121,118.6436101,32.11208901,118.6427457,32.11209982,118.6436101,23.37,4.8
63,32.1121,118.6436315,32.11204567,118.6427901,32.11210036,118.6436316,20.09,4.49
64,32.1121,118.643653,32.11201234,118.6428346,32.11210254,118.6436531,21.63,6.76
65,32.1121,118.6436745,32.11205678,118.642879,32.11209842,118.6436746,24.12,8.41
66,32.1121,118.643696,32.11210123,118.6429235,32.11210019,118.643696,27.67,5.26
67,32.1121,118.6437175,32.11213456,118.6429679,32.11210173,118.6437175,30.78,4.62
68,32.1121,118.6437389,32.11210123,118.6430123,32.11209956,118.643739,31.66,4.9
69,32.1121,118.6437604,32.11206789,118.6430568,32.11210084,118.6437605,34.76,6.54
70,32.1121,118.6437819,32.11202345,118.6431012,32.11209862,118.643782,38.23,6.23
71,32.1121,118.6438034,32.11199012,118.6431457,32.11210216,118.6438034,41.32,6.74
72,32.1121,118.6438249,32.11202345,118.6431901,32.11210047,118.6438249,44.19,7.33
73,32.1121,118.6438463,32.1120789,118.6432346,32.11209853,118.6438464,41.45,7.52
74,32.1121,118.6438678,32.11212345,118.643279,32.11210121,118.6438679,38.72,6.06
75,32.1121,118.6438893,32.11210123,118.6433235,32.11209928,118.6438894,40.86,5.08
76,32.1121,118.6439108,32.11206789,118.6433679,32.11210076,118.6439108,44.08,6.33
77,32.1121,118.6439323,32.11202345,118.6434123,32.11209894,118.6439323,47.54,6.56
78,32.1121,118.6439537,32.11199012,118.6434568,32.11210182,118.6439538,50.29,6.55
79,32.1121,118.6439752,32.11203456,118.6435012,32.11209961,118.6439753,47.78,6.46
80,32.1121,118.6439967,32.11208901,118.6435457,32.11210053,118.6439968,44.08,7.18
81,32.1121,118.6440182,32.11212345,118.6435901,32.11209874,118.6440182,46.19,5.92
82,32.1121,118.6440397,32.11210123,118.6436346,32.11210118,118.6440397,49.13,6.15
83,32.1121,118.6440611,32.11206789,118.643679,32.11209958,118.6440612,52.39,4.54
84,32.1121,118.6440826,32.11201234,118.6437235,32.11210071,118.6440827,55.24,3.53
85,32.1121,118.6441041,32.1119789,118.6437679,32.11209852,118.6441042,52.85,7
86,32.1121,118.6441256,32.11202345,118.6438123,32.11210237,118.6441256,49.76,7.68
87,32.1121,118.6441471,32.1120789,118.6438568,32.11209984,118.6441471,46.67,5.8
88,32.1121,118.6441685,32.11212345,118.6439012,32.11210026,118.6441686,44.12,5.54
89,32.1121,118.64419,32.11210123,118.6439457,32.11209889,118.6441901,42.37,7.27
90,32.1121,118.6442115,32.11206789,118.6439901,32.11210165,118.6442116,45.47,6.07
91,32.1121,118.644233,32.11201234,118.6440346,32.11209967,118.644233,48.81,5.62
92,32.1121,118.6442545,32.1119789,118.644079,32.11210082,118.6442545,46.15,4.96
93,32.1121,118.6442759,32.11202345,118.6441235,32.11209878,118.644276,42.53,7.29
94,32.1121,118.6442974,32.1120789,118.6441679,32.11210142,118.6442975,39.12,6.23
95,32.1121,118.6443189,32.11212345,118.6442123,32.11209974,118.644319,37.42,4.91
96,32.1121,118.6443404,32.11210123,118.6442568,32.11210041,118.6443404,39.14,6.6
97,32.1121,118.6443619,32.11206789,118.6443012,32.11209856,118.6443619,42.59,7.66
98,32.1121,118.6443833,32.11202345,118.6443457,32.11210208,118.6443834,46.06,6.81
99,32.1121,118.6444048,32.11199012,118.6443901,32.11209984,118.6444049,43.82,6.58
100,32.1121,118.6444263,32.11203456,118.6444346,32.11210123,118.6444264,40.56,5.74
